,0
129,POINT ( 29.635378950000003 105.77288770806598 )
130,POINT ( 40.4007047 99.7898415 )
131,POINT ( 39.2604494 115.8223799 )
132,POINT ( 41.783687099999995 123.49832294724467 )
133,POINT ( 44.01597 126.3892 )
134,POINT ( 31.90980185 117.65914719609465 )
135,POINT ( 29.3432402 117.17988248363616 )
136,POINT ( 26.00630585 119.31344634352325 )
137,POINT ( 42.069230649999994 121.72221479992044 )
138,POINT ( 25.8275894 114.9119125 )
139,POINT ( 36.3833874 119.7550326 )
140,POINT ( 24.5337547 118.1148828 )
141,POINT ( 29.2980582 90.91136319655027 )
142,POINT ( 31.6647156 113.8177507889152 )
143,POINT ( 23.16539555 113.36876552609573 )
144,POINT ( 44.5245786 129.56714084864257 )
145,POINT ( 49.1779687 119.7083497 )
146,POINT ( 42.839997499999996 93.67275448984634 )
147,POINT ( 45.6002477 126.65695142473926 )
148,POINT ( 37.0502796 79.9058988 )
149,POINT ( 43.5242004 124.7860031 )
150,POINT ( 39.718830749999995 113.1406461774807 )
151,POINT ( 26.260770700000002 105.87644806804204 )
152,POINT ( 30.9103813 114.5046414 )
153,POINT ( 30.7026732 103.94955783591183 )
154,POINT ( 25.0271325 118.80604464146472 )
155,POINT ( 23.0517422 114.60181764645881 )
156,POINT ( 34.1411681 108.6012211 )
157,POINT ( 28.6309136 115.9302223 )
158,POINT ( 30.3391275 120.2355611 )
159,POINT ( 30.7108714 120.6711274 )
160,POINT ( 30.704261 120.68234488858448 )
161,POINT ( 29.2429795 117.1372951 )
162,POINT ( 35.3016173 116.3400854 )
163,POINT ( 24.79702915 118.58870501999499 )
164,POINT ( 37.4900017 116.1179962 )
165,POINT ( 34.7529967 114.3409783297103 )
166,POINT ( 39.540060249999996 76.0197234313948 )
167,POINT ( 41.6208609 86.1377125 )
168,POINT ( 45.263333450000005 126.89141797161533 )
169,POINT ( 40.02644170000001 124.2815411011791 )
170,POINT ( 28.850612249999998 105.38745431218496 )
171,POINT ( 26.5873849 112.89217132813525 )
172,POINT ( 26.4114936 106.53399456588684 )
173,POINT ( 25.19347955 110.31654176486636 )
174,POINT ( 25.6764127 116.74805107673899 )
175,POINT ( 30.6787369 107.78642378761992 )
176,POINT ( 41.2854097 123.1287786 )
177,POINT ( 35.3088274 103.83742600113362 )
178,POINT ( 34.3764553 109.12125448170096 )
179,POINT ( 29.8261878 121.45840490871828 )
180,POINT ( 41.9849933 125.4124278 )
181,POINT ( 41.18674145 121.16717826254296 )
182,POINT ( 25.57236515 119.45769243274628 )
183,POINT ( 29.112206 119.177578 )
184,POINT ( 37.915486400000006 114.59152619473704 )
185,POINT ( 32.37933275 118.7981666329743 )
186,POINT ( 24.98707255 103.64023915865565 )
187,POINT ( 28.5349528 121.4385541 )
188,POINT ( 33.685060750000005 112.89102326329794 )
189,POINT ( 29.47732215 115.80132070639075 )
190,POINT ( 24.4369028 98.5886667 )
191,POINT ( 24.263130750000002 116.09743997669327 )
192,POINT ( 23.393183999999998 103.3369844615363 )
193,POINT ( 30.7976963 106.16539591715926 )
194,POINT ( 31.9729533 118.8439142671007 )
195,POINT ( 39.78215945 116.38767501732069 )
196,POINT ( 32.101337400000006 80.05632796534377 )
197,POINT ( 30.6714308 114.6366524 )
198,POINT ( 31.14419925 121.79239291850864 )
199,POINT ( 39.450901 122.0179977 )
200,POINT ( 36.76508355 116.64308906445571 )
201,POINT ( 39.55677995 98.88720567164373 )
202,POINT ( 30.493990150000002 103.46392762885759 )
203,POINT ( 47.23895465 123.9150970525425 )
204,POINT ( 38.5861 112.959 )
205,POINT ( 28.96650195 118.90009692496966 )
206,POINT ( 32.256809649999994 120.5040150782193 )
207,POINT ( 39.2910747 121.7706481 )
208,POINT ( 23.08374235 113.06843829160059 )
209,POINT ( 40.14920345 116.32158817493455 )
210,POINT ( 34.450468 115.45834980780235 )
211,POINT ( 39.970265100000006 119.73039523377567 )
212,POINT ( 30.08849695 114.31560815591834 )
213,POINT ( 23.427755050000002 116.75913704954428 )
214,POINT ( 27.2262338 111.67061847647429 )
215,POINT ( 24.9720854 113.4150521 )
216,POINT ( 22.4372806 114.08020009630567 )
217,POINT ( 29.3635212 89.3164937 )
218,POINT ( 38.0829483 114.41670892483512 )
219,POINT ( 45.66494665 126.69795581267539 )
220,POINT ( 45.40753115 126.31988532534731 )
221,POINT ( 43.5929515 123.5643666 )
222,POINT ( 31.4984408 120.43007861805665 )
223,POINT ( 43.1568985 124.2919998 )
224,POINT ( 10.9231869 114.086088 )
225,POINT ( 21.39428205 110.2016621593294 )
226,POINT ( 31.2632864 120.40119607680884 )
227,POINT ( 26.85743135 114.73703309174373 )
228,POINT ( 30.60136215 104.01645417428566 )
229,POINT ( 38.7813749 117.06804761567156 )
230,POINT ( 39.7198374 118.00176191850872 )
231,POINT ( 34.5593442 105.8635664859774 )
232,POINT ( 23.72020895 106.9609714096124 )
233,POINT ( 42.5257988 123.9820023 )
234,POINT ( 39.811634850000004 116.70439071953078 )
235,POINT ( 29.7535277 118.2899284 )
236,POINT ( 43.4658102 87.53121504171628 )
237,POINT ( 42.1847567 87.184726 )
238,POINT ( 39.6723602 121.7584267 )
239,POINT ( 36.24789875 113.1252850638113 )
240,POINT ( 45.6730551 126.52337452811699 )
241,POINT ( 36.647181450000005 119.11501057347209 )
242,POINT ( 37.1864922 122.22940860931081 )
243,POINT ( 41.2619982 80.29134091379314 )
244,POINT ( 32.38987555 111.69454303645503 )
245,POINT ( 34.27207065 108.26528085914231 )
246,POINT ( 31.39232525 118.41477224300223 )
247,POINT ( 37.989151899999996 102.56657967269513 )
248,POINT ( 22.6087962 108.1778206273208 )
249,POINT ( 27.70298965 117.99996959399512 )
250,POINT ( 23.213233 114.123982 )
251,POINT ( 28.42178495 115.92680755086766 )
252,POINT ( 35.91794675 104.21937790417113 )
253,POINT ( 25.444529799999998 100.73332229163388 )
254,POINT ( 30.9543561 113.91229965361981 )
255,POINT ( 41.10437735 121.06379619266454 )
256,POINT ( 26.943872 120.07293473349456 )
257,POINT ( 39.958673649999994 116.25375856138089 )
258,POINT ( 25.5474946 114.6163347922856 )
259,POINT ( 24.1657986 115.7487881 )
260,POINT ( 27.81072255 107.246802633757 )
261,POINT ( 39.1552083 115.2844129 )
262,POINT ( 33.428409349999995 120.20320242554347 )
263,POINT ( 39.387685 117.1114713 )
264,POINT ( 24.149906950000002 115.75806847063974 )
265,POINT ( 34.64483835 109.24065669680297 )
266,POINT ( 28.7014727 116.10545755937252 )
267,POINT ( 38.4787555 106.00761364253447 )
268,POINT ( 29.342204799999998 120.02868898781665 )
269,POINT ( 34.870845 110.3535086 )
270,POINT ( 40.5047888 116.11018645871488 )
271,POINT ( 41.823676000000006 123.3010376974359 )
272,POINT ( 18.222304 109.5155769 )
273,POINT ( 40.7427375 114.9272331 )
274,POINT ( 28.021593850000002 115.54868033097479 )
275,POINT ( 38.8038395 100.67144459719779 )
276,POINT ( 24.5662326 117.65474385483162 )
277,POINT ( 34.860890850000004 113.73147494313602 )
278,POINT ( 39.455779 116.0000412 )
279,POINT ( 29.920395149999997 121.57487548760804 )
280,POINT ( 36.0275002 119.439003 )
281,POINT ( 36.8103111 117.89016858706182 )
282,POINT ( 40.1025009 117.887001 )
283,POINT ( 54.395547050000005 -110.26376575390684 )
284,POINT ( 49.711201 -124.89458096570971 )
285,POINT ( 49.8960127 -97.2494115704402 )
286,POINT ( 48.94344635 -54.58228027441001 )
287,POINT ( 44.983973750000004 -64.91729630354354 )
288,POINT ( 44.24820845 -76.44591257061205 )
289,POINT ( 44.2716234 -79.9123591 )
290,POINT ( 46.3582867 -79.41634872511659 )
291,POINT ( 44.118372550000004 -77.53340414128267 )
292,POINT ( 48.331432500000005 -70.99492946501087 )
293,POINT ( 37.530782849999994 22.403488790534773 )
294,POINT ( 39.9115606 25.22332309934304 )
295,POINT ( 35.1911068 25.328944752590246 )
296,POINT ( 38.6022915 21.3655199 )
297,POINT ( 36.38351175 28.11278422310808 )
298,POINT ( 39.65141585 22.462750398346742 )
299,POINT ( -7.9696002 -14.3936996 )
300,POINT ( 34.580374649999996 32.98643167708004 )
301,POINT ( 34.915111350000004 32.881469374737975 )
302,POINT ( -51.8208456 -58.4564927 )
303,POINT ( 36.14935035 -5.347265618825039 )
304,POINT ( -52.153733450000004 -60.59810162755879 )
305,POINT ( -51.42372625 -60.56388109648702 )
306,POINT ( 32.40605265 -86.24560080103355 )
307,POINT ( 64.67551950000001 -147.05719624192406 )
308,POINT ( 61.25323915 -149.80818022420294 )
309,POINT ( 32.17079565 -110.86990239630313 )
310,POINT ( 33.5354345 -112.37352271720567 )
311,POINT ( 34.90592735 -92.13876998759838 )
312,POINT ( 34.889855 -117.83296824925642 )
313,POINT ( 34.73835455 -120.58262457020024 )
314,POINT ( 39.7078055 -104.758286 )
315,POINT ( 39.128304799999995 -75.46791931717073 )
316,POINT ( 27.84364085 -82.50287224965905 )
317,POINT ( 28.2422228 -80.60910739343556 )
318,POINT ( 30.4312921 -86.69022912473963 )
319,POINT ( 21.3319957 -157.95166106114857 )
320,POINT ( 43.04683355 -115.87639414293614 )
321,POINT ( 41.1173841 -95.9082652384935 )
322,POINT ( 36.5887542 -115.67145630739475 )
323,POINT ( 36.2448129 -115.05680757664634 )
324,POINT ( 34.382445 -103.320967 )
325,POINT ( 33.07683095 -106.21900162899482 )
326,POINT ( 35.005568600000004 -106.46804210189335 )
327,POINT ( 35.34510185 -77.95765795860548 )
328,POINT ( 48.420010950000005 -101.33720953659139 )
329,POINT ( 39.820309249999994 -84.05101746541155 )
330,POINT ( 36.3436168 -97.90973574940551 )
331,POINT ( 37.08751425 -76.35722238652752 )
332,POINT ( 47.1378758 -122.47877945284873 )
333,POINT ( 41.1663407 -104.8627525 )
334,POINT ( 46.03136845 12.602047622830732 )
335,POINT ( 13.5811111 144.9244444 )
336,POINT ( 49.44142600000001 7.601240124264638 )
337,POINT ( 52.5568088 13.30375552174911 )
338,POINT ( 50.1714805 7.058077111668251 )
